id	proveedor	tipo_envio	peso	volumen	fecha	origen	destino	precio
0	Electronica Chispas	1	31	66	10/11/2003	Ceuta	Cordoba	317.27
1	Electronica Chispas	2	27	69	22/03/2003	Toledo	Pontevedra	34.19
2	Infraestructuras Fracturas	3	81	75	27/05/2004	Zamora	Malaga	408.65
3	Vigas Figas	2	23	66	28/03/2005	Bilbao	Caceres	413.32
4	Infraestructuras Fracturas	2	75	25	30/01/2001	Avila	Logrono	340.25
5	Quimicas Babum	1	87	24	29/09/2007	Bilbao	Badajoz	78.76
6	Infraestructuras Fracturas	1	38	89	12/11/2001	Lugo	Tarragona	111.35
7	Electronica Chispas	1	89	20	11/09/2006	Segovia	Teruel	Soria	147.95
8	Cafes el amanencer	2	3	84	17/08/2003	Valencia	Cuenca	266.54
9	Infraestructuras Fracturas	1	30	93	11/05/2005	Logrono	Zaragoza	146.86
10	Infraestructuras Fracturas	2	6	11	15/11/2004	Las Palmas de Gran Canaria	Segovia	414.33
11	Quimicas Babum	3	29	0	24/11/2005	Lerida	Palma de Mallorca	45.4
12	Electronica Chispas	2	46	44	31/05/2005	Huesca	Gerona	264.71
13	Vigas Figas	2	39	40	21/06/2004	Huelva	Toledo	344.57
14	Quimicas Babum	3	96	71	07/07/2001	Pamplona	Huelva	30.73
15	Cafes el amanencer	1	10	33	30/07/2006	Salamanca	Badajoz	100.56
16	Electronica Chispas	1	13	90	25/08/2000	Zaragoza	Huelva	103.33
17	Cafes el amanencer	2	6	95	19/06/2006	Cadiz	Valencia	49.17
18	Electronica Chispas	3	35	32	27/04/2004	Gerona	Huelva	7.1
19	Vigas Figas	1	77	17	21/06/2002	Soria	Castellon	108.55
20	Coches Coco	2	42	54	01/09/2000	Cuenca	Toledo	4.59
21	Electronica Chispas	2	45	41	01/11/2002	Ciudad Real	Malaga	63.45
22	Vigas Figas	2	49	27	05/11/2005	Salamanca	Valencia	135.18
23	Electronica Chispas	1	61	27	09/06/2000	Malaga	Huesca	38.93
24	Cafes el amanencer	2	87	12	05/09/2002	Cuenca	Santander	289.82
25	Infraestructuras Fracturas	1	36	20	25/03/2000	Pamplona	Guadalajara	39.58
26	Cafes el amanencer	3	12	53	13/01/2000	Santa Cruz de Tenerife	Santa Cruz de Tenerife	243.41
